#;Player;Score;Kills;Death;Damage;Map Count;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0;First Place;Second Place;Third Place;Earnings
926.0;-stormzin;5.7;0.59;0.68;67.33;118.0;;;;;;;;;;
;0i;;;;;;['new4', 'five', 'invictus', 'after'];493.0;12891.0;-447.0;0.95;0.95;;;;
706.0;1962;5.8;0.64;0.7;72.56;66.0;['isurus', 'leviatan', 'lrv'];662.0;17312.0;-207.0;0.98;1.0;;;;
601.0;1NVISIBLE;5.9;0.67;0.75;76.09;102.0;;;;;;;;;;
;1NVISIBLEE;;;;;;['arcred'];215.0;5286.0;-497.0;0.88;0.91;;;;
448.0;1eeR;6.0;0.64;0.65;72.68;85.0;['nemiga'];280.0;7382.0;-463.0;0.9;0.9;;;;
;1uke;;;;;;['spirit-academy', 'hollywood', 'plink'];623.0;16179.0;223.0;1.02;1.0;;;;
776.0;2x2x;5.8;0.62;0.68;67.81;37.0;;;;;;;;;;
;4pack;;;;;;['rebirth', 'blood-sweat-and-tears', 'rap-gang', 'variance'];228.0;5904.0;239.0;1.06;1.06;;;;
;648;;;;;;['coscu-army', 'real-betis-sa', 'malvinas', 'rysix'];228.0;5892.0;-113.0;0.97;0.96;;;;
;7oX1C;;;;;;['cr4zy', 'project-x', 'trasko'];378.0;9936.0;-341.0;0.95;0.94;;;;
251.0;910;6.1;0.69;0.63;70.11;111.0;;;;;;;;;;
;AAustiN;;;;;;['recon-5', 'strife', 'swedish-canadians'];276.0;7265.0;-609.0;0.88;0.89;;;;
815.0;ABM;5.8;0.62;0.69;69.63;42.0;;;;;;;;;;
67.0;ADDICT;6.3;0.74;0.67;78.97;89.0;['vertex'];529.0;13153.0;1140.0;1.14;1.08;;;;
1061.0;ADK;5.2;0.51;0.67;55.61;32.0;['rooster', 'madlikewizards', 'athletico'];437.0;11332.0;-825.0;0.89;0.89;;;;
;AE;;;;;;['emp', 'eclipse', 'steel-helmet'];352.0;9019.0;191.0;1.03;1.04;;;;
;AERO;;;;;;['rush3d', 'enso', 'znation'];287.0;7420.0;-547.0;0.9;0.91;;;;
953.0;AJTT;5.6;0.58;0.67;67.87;114.0;['sinners', 'entropiq-prague', 'entropiq', 'brute'];409.0;10488.0;-111.0;0.98;0.97;;;;
668.0;ALEX;5.9;0.66;0.72;72.87;139.0;['ldlc', 'vitality', 'fnatic'];1162.0;30750.0;-372.0;0.98;0.99;15.0;12.0;11.0;$281,719
470.0;ALLE;6.0;0.66;0.66;74.51;177.0;['flamengo', 'paquet', 'liberty', 'isurus', 'redemption-poa'];756.0;19418.0;-90.0;0.99;0.98;;;;
683.0;AMANEK;5.9;0.62;0.65;68.88;313.0;['g2', 'ldlc', 'misfits'];1151.0;30969.0;1248.0;1.06;1.02;27.0;17.0;21.0;$410,243
;ANDROID;;;;;;['complexity', 'envy'];835.0;21741.0;1036.0;1.07;1.04;9.0;7.0;6.0;$94,140
;ANGE1;;;;;;['hellraisers'];1728.0;45027.0;-685.0;0.98;0.99;21.0;30.0;30.0;$186,287
;ANa;;;;;;['pigeons', 'nigma-galaxy', 'galaxy-racer-fe'];206.0;4943.0;877.0;1.3;1.18;;;;
;APE;;;;;;['complexity', 'obeyalliance', 'kaliber'];228.0;5889.0;-317.0;0.92;0.92;;;;
;AZK;;;;;;['ibuypower', 'torqued', 'gx'];282.0;7420.0;-1.0;1.0;0.98;;;;
669.0;AZR;5.9;0.64;0.71;70.69;89.0;['renegades', '100-thieves'];1145.0;29916.0;-249.0;0.99;0.98;8.0;13.0;10.0;$219,028
113.0;AZUWU;6.3;0.72;0.69;79.35;159.0;['endpoint', 'coalesce', '1pin'];332.0;8473.0;167.0;1.03;1.02;;;;
169.0;Aaron;6.2;0.71;0.71;80.39;137.0;['pera', 'salamander', 'budapest-five', 'domination'];453.0;11455.0;-402.0;0.95;0.96;;;;
