#;Player;Score;Kills;Death;Damage;Map Count
1;ZywOo;6.9;0.81;0.59;84.02;603
2;donk;6.9;0.86;0.68;89.61;250
3;s1mple;6.9;0.83;0.60;84.24;539
4;dea;6.8;0.83;0.63;86.03;103
5;sh1ro;6.7;0.77;0.53;76.96;547
6;nettik;6.6;0.77;0.64;84.92;77
7;m0NESY;6.6;0.76;0.59;76.13;353
8;D0cC;6.6;0.78;0.66;79.72;42
9;deko;6.6;0.78;0.59;78.88;326
10;MATYS;6.6;0.79;0.71;86.26;299
11;NiKo;6.6;0.76;0.65;85.13;619
12;nota;6.6;0.77;0.67;84.88;30
13;blameF;6.6;0.74;0.61;83.49;587
14;nilo;6.5;0.78;0.66;83.95;254
15;Lucaozy;6.5;0.76;0.63;82.15;182
16;w0nderful;6.5;0.75;0.57;75.44;253
17;XANTARES;6.5;0.74;0.65;83.58;498
18;ROGA;6.5;0.75;0.59;73.96;85
19;jayzaR;6.5;0.78;0.68;78.98;41
20;dev1ce;6.5;0.74;0.61;78.08;481
21;Kvem;6.5;0.77;0.70;87.58;114
22;Easy;6.5;0.74;0.61;75.65;69
23;insani;6.5;0.75;0.65;82.34;227
24;SENSEi;6.5;0.72;0.58;76.44;49
25;khaN;6.5;0.75;0.59;72.66;56
26;h4rn;6.5;0.73;0.58;75.14;236
27;tvs;6.4;0.75;0.60;77.13;33
28;asap;6.4;0.72;0.65;82.24;75
29;mhL;6.4;0.74;0.63;79.56;289
30;mertz;6.4;0.75;0.67;79.00;30
31;Ax1Le;6.4;0.73;0.63;81.31;582
32;KSCERATO;6.4;0.71;0.59;79.13;527
33;Woro2k;6.4;0.75;0.63;77.13;457
34;Wolffe;6.4;0.76;0.67;82.57;87
35;ropz;6.4;0.74;0.61;78.29;596
36;degster;6.4;0.73;0.58;73.07;305
37;JamYoung;6.4;0.73;0.64;79.14;190
38;card;6.4;0.74;0.61;73.86;96
39;reiko;6.4;0.75;0.70;82.78;256
40;DANK1NG;6.4;0.75;0.63;74.28;70
41;lake;6.4;0.76;0.73;85.08;102
42;Jimpphat;6.4;0.73;0.59;77.87;273
43;icy;6.4;0.73;0.58;70.61;103
44;CoJoMo;6.4;0.73;0.66;78.02;53
45;INS;6.4;0.72;0.68;84.60;209
46;Nertz;6.4;0.73;0.65;80.04;287
47;NAF;6.4;0.70;0.61;79.36;545
48;yAmi;6.4;0.76;0.69;81.79;55
49;frozen;6.4;0.71;0.61;80.40;534
50;nero;6.4;0.76;0.69;76.59;41
51;ritchiEE;6.4;0.73;0.67;82.91;72
52;EliGE;6.4;0.73;0.68;81.85;579
53;oskar;6.4;0.72;0.61;74.89;341
54;ArtFr0st;6.4;0.71;0.54;70.88;275
55;SLIGHT;6.4;0.71;0.60;74.28;138
56;BeaKie;6.4;0.73;0.66;78.59;82
57;broky;6.3;0.72;0.61;74.27;628
58;dare;6.3;0.74;0.71;79.84;115
59;anarkez;6.3;0.73;0.60;72.98;162
60;stavn;6.3;0.72;0.65;81.12;571
61;try;6.3;0.71;0.61;73.56;112
62;PR;6.3;0.72;0.65;79.28;101
63;fleav;6.3;0.74;0.63;77.55;70
64;PNDLM;6.3;0.72;0.69;80.77;49
65;znxxX;6.3;0.73;0.60;72.25;102
66;tomiko;6.3;0.76;0.71;80.45;229
67;ADDICT;6.3;0.74;0.67;78.97;89
68;saadzin;6.3;0.70;0.59;72.68;116
69;Starry;6.3;0.71;0.64;79.22;122
70;Mercury;6.3;0.72;0.68;79.76;165
71;HeavyGod;6.3;0.72;0.63;79.99;277
72;CLASIA;6.3;0.72;0.66;81.27;44
73;Decenty;6.3;0.74;0.61;77.72;204
74;Spinx;6.3;0.72;0.63;77.60;427
75;sl3nd;6.3;0.70;0.58;74.94;241
76;podi;6.3;0.72;0.62;73.91;134
77;dav1deuS;6.3;0.73;0.68;81.08;232
78;piriaz1n;6.3;0.72;0.64;78.45;125
79;Kursy;6.3;0.72;0.64;73.50;30
80;NOOZ;6.3;0.75;0.71;80.85;47
81;M1key;6.3;0.73;0.71;84.10;57
82;KAISER;6.3;0.70;0.63;74.02;79
83;hype;6.3;0.72;0.61;72.22;141
84;supLexN1;6.3;0.71;0.57;71.07;125
85;KENSI;6.3;0.72;0.65;80.60;496
86;r1nkle;6.3;0.72;0.64;75.41;243
87;Kye;6.3;0.73;0.65;79.76;119
88;FL1T;6.3;0.70;0.64;81.10;448
89;Jame;6.3;0.68;0.52;68.64;541
90;Ryujin;6.3;0.74;0.67;78.60;123
91;malbsMd;6.3;0.74;0.72;81.52;268
92;REDSTAR;6.3;0.71;0.63;76.55;287
93;t9rnay;6.3;0.72;0.63;77.96;97
94;dgt;6.3;0.72;0.61;77.45;202
95;d1Ledez;6.3;0.72;0.68;79.05;287
96;Ryxxo;6.3;0.70;0.63;75.82;30
97;jkaem;6.3;0.73;0.71;82.47;466
98;Ethan;6.3;0.68;0.66;78.31;91
99;slaxz-;6.3;0.70;0.60;72.02;356
100;DGL;6.3;0.72;0.60;70.16;103
101;JBa;6.3;0.72;0.65;77.03;123
102;BOROS;6.3;0.76;0.73;81.61;263
103;FORSYY;6.3;0.72;0.59;74.32;147
104;jL;6.3;0.73;0.67;79.88;359
105;gokushima;6.3;0.70;0.61;72.17;173
106;POLO;6.3;0.71;0.63;74.32;82
107;yuurih;6.3;0.70;0.63;79.83;528
108;venomzera;6.3;0.71;0.66;78.85;178
109;allu;6.3;0.72;0.66;74.70;175
110;lan;6.3;0.73;0.66;74.95;61
111;nicoodoz;6.3;0.72;0.62;74.21;458
112;SunPayus;6.3;0.70;0.58;71.99;330
113;AZUWU;6.3;0.72;0.69;79.35;159
114;m4tthi;6.3;0.72;0.65;74.40;49
115;Xeppaa;6.3;0.73;0.68;76.27;104
116;righi;6.3;0.73;0.67;79.19;82
117;bLitz;6.3;0.71;0.67;81.66;194
118;AhaNg;6.3;0.70;0.70;83.22;46
119;joel;6.3;0.73;0.68;79.53;157
120;YEKINDAR;6.3;0.71;0.70;81.26;518
