Player;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0
ZywOo;['vitality'];1263;33050;+7706;1.38;1.27
s1mple;['natus-vincere'];1727;45750;+9669;1.33;1.24
sh1ro;['gambit-youngsters', 'gambit', 'cloud9'];1120;29619;+7008;1.44;1.22
donk;['spirit', 'spirit-academy'];399;10154;+1648;1.24;1.21
deko;['aurora', '1win'];822;21440;+4459;1.36;1.20
m0NESY;['g2', 'navi-junior'];514;13148;+2447;1.31;1.19
d4v41;['boot', 'frostfire', 'fire-dragoon', 'boot-ds'];308;8005;+1358;1.27;1.18
smooya;['big', 'movistar-riders', 'epsilon'];1034;27098;+4537;1.27;1.18
w0nderful;['natus-vincere', 'sprout', 'spirit', 'trasko', 'project-x'];472;12234;+2374;1.34;1.18
ANa;['pigeons', 'nigma-galaxy', 'galaxy-racer-fe'];206;4943;+877;1.30;1.18
degster;['espada', 'spirit', 'og'];833;22369;+3953;1.29;1.18
Laz;['scarz-absolute', 'absolute'];269;6862;+1148;1.27;1.17
kaze;['vici', 'rare-atom', 'flash'];1098;28254;+4880;1.29;1.17
XANTARES;['eternal-fire', 'space-soldiers', 'big'];2086;54870;+7425;1.20;1.17
sterling;['avant', 'looking-for-org'];967;24789;+4347;1.29;1.16
nettik;['rooster', 'jade'];441;10961;+1627;1.23;1.16
SENSEi;['cr4zy', 'ikla', 'project-x', 'akuma', 'iron-branch'];623;16671;+3187;1.35;1.16
DANK1NG;['tyloo', 'ehome'];457;12106;+1897;1.25;1.16
device;['astralis', 'tsm'];2009;52209;+8121;1.25;1.16
cosmeeeN;['epsilon', 'nexus', 'xpc'];319;8310;+1109;1.20;1.16
try;['9z', '00nation'];503;13350;+2143;1.27;1.16
blameF;['complexity', 'astralis', 'heroic'];1151;30646;+4854;1.26;1.15
NiKo;['g2', 'faze', 'mouz'];1876;49513;+6272;1.19;1.15
regali;['copenhagen-flames', 'og', 'fnatic-rising'];435;11824;+1741;1.24;1.14
ArtFr0st;['spirit-academy', 'spirit'];396;10096;+1804;1.33;1.14
saffee;['mibr', 'pain', 'furia'];669;17217;+2534;1.24;1.14
Benkai;['boot-ds', 'boot', 'dreamscape'];603;15560;+2046;1.20;1.14
KSCERATO;['furia'];1140;29412;+4538;1.27;1.14
ju1ces;['rooster', 'madlikewizards', 'seadoggs'];222;5737;+734;1.20;1.14
dizzyLife;['legacy', 'chiefs'];345;8772;+1208;1.22;1.14
BnTeT;['tyloo', 'geng'];1114;29019;+3806;1.21;1.14
JamYoung;['tyloo', 'vici', 'rare-atom'];583;14866;+1921;1.21;1.14
torzsi;['mouz', 'budapest-five', 'mouz-nxt'];719;18684;+2624;1.23;1.13
GooseBreeder;['flyquest-red', 'clg-red', 'dignitas-fe', 'those-damn-canadians'];273;6500;+878;1.21;1.13
Texta;['chiefs', 'athletico', 'dark-sided'];631;15863;+1742;1.16;1.13
Jame;['virtuspro', 'avangar'];1443;37791;+6369;1.31;1.13
Woro2k;['monte', 'mad-lions'];816;21359;+2871;1.21;1.13
ROGA;['partizan'];241;6551;+958;1.24;1.13
coldzera;['sk', 'faze', 'luminosity', '00nation', 'mibr'];1681;43739;+5852;1.22;1.13
frozen;['mouz', 'extatus'];1474;38107;+4551;1.19;1.13
history;['arctic', 'fluxo'];216;5600;+841;1.26;1.13
podi;['ence-academy'];317;8302;+1265;1.26;1.13
Jimpphat;['mouz', 'mouz-nxt'];491;12770;+1650;1.21;1.13
oskar;['sinners', 'mouz', 'hellraisers'];1881;49194;+6109;1.20;1.12
mhL;['ago', 'endpoint', 'mouz-nxt'];823;21963;+2805;1.20;1.12
fredi;['esuba'];235;6075;+647;1.16;1.12
Ganginho;['iron-branch', 'sangal', 'betera'];237;6061;+778;1.20;1.12
XigN;['nkt', 'mvp-pk', 'mvp-project'];844;21823;+2448;1.17;1.12
INS;['renegades', 'grayhound', 'chiefs', 'order', 'tainted-minds'];1165;29169;+3253;1.17;1.12
mattcd;['legacy'];236;6044;+766;1.21;1.12
jOELZ;['nerdrage'];247;6433;+720;1.17;1.12
liTTle;['forze', 'rush3d', 'spartak', 'enso'];458;12159;+1550;1.20;1.12
dgt;['9z'];702;18233;+2441;1.22;1.12
kennyS;['g2', 'envy', 'titan'];1991;52684;+6521;1.20;1.12
zevy;['fluxo', 'pain', 'sharks'];590;15214;+1915;1.20;1.12
ropz;['faze', 'mouz'];1432;37517;+4774;1.21;1.12
h4rn;['fate', 'fiend', 'enterprise', 'pompa'];897;23919;+3303;1.23;1.12
mantuu;['og', 'alternate-attax', 'big'];843;22272;+2752;1.20;1.12
El1an;['winstrike', 'entropiq', 'epg'];1450;38643;+4980;1.21;1.12
zAAz;['pigeons', 'secret-fe', 'besiktas', 'g2-oya'];289;6849;+674;1.15;1.12
Jamppi;['sj', 'ence'];503;13449;+1408;1.16;1.12
wrath;['new-identity', 'secret-club', 'blackout'];525;13568;+1239;1.13;1.12
Freeman;['vici', 'tyloo'];837;21474;+2332;1.17;1.11
CigaretteS;['signature', 'mith', '7642'];207;5417;+550;1.15;1.11
SunPayus;['ence', 'movistar-riders'];574;15084;+1998;1.23;1.11
nawwk;['apeks', 'gamerlegion', 'ninjas-in-pyjamas', 'x6tence-galaxy'];1341;35377;+4791;1.23;1.11
Sico;['grayhound', 'renegades', 'order', 'kings'];1048;26546;+3585;1.23;1.11
woxic;['eternal-fire', 'hellraisers', 'mouz'];1399;36537;+4474;1.20;1.11
PTC;['lucid-dream', '5power'];476;12393;+1408;1.18;1.11
sk0R;['ihc', 'd13', 'nkt'];486;12966;+1278;1.15;1.11
r1nkle;['b8'];482;12331;+1406;1.18;1.11
XELLOW;['nexus'];1454;38119;+3950;1.16;1.11
ZELIN;['alientech', 'giants', 'k1ck'];322;8462;+856;1.15;1.11
splashske;['boot-ds', 'hz', 'boot', 'dreamscape'];722;18651;+1811;1.15;1.11
huNter-;['g2', 'valiance', 'binary-dragons'];1718;45023;+4486;1.15;1.11
hype;['prospects', 'aura'];399;10892;+1257;1.19;1.11
znxxX;['websterz', 'spirit-academy'];337;9100;+1156;1.21;1.11
junior;['triumph', 'bad-news-bears', 'evil-geniuses', 'eg-black'];753;19221;+2608;1.23;1.11
GuardiaN;['natus-vincere', 'faze'];1602;41970;+4779;1.18;1.11
Luken;['sharks', '9z', 'furious', 'bestia'];335;8752;+951;1.17;1.11
yuurih;['furia'];1233;31909;+3445;1.17;1.11
FREDDyFROG;['chaos', 'red-reserve', 'apeks', 'japaleno', 'galaxy-racer'];1208;32176;+3606;1.18;1.11
dream3r;['e-fragnet', 'fiend', 'skade'];1429;37499;+4501;1.20;1.11
forsyy;['eclot', 'sinners', 'enterprise', 'entropiq'];653;16841;+2055;1.21;1.11
havoK;['nasr', 'risky', 'divine-vendetta'];241;6335;+582;1.14;1.11
HEN1;['imperial', 'immortals', 'mibr', 'furia', 'luminosity'];1511;38614;+5238;1.24;1.11
Twistzz;['liquid', 'faze'];1683;43821;+4634;1.17;1.11
TenZ;['bad-news-bears', 'atk'];401;10399;+839;1.12;1.10
xeta;['mvp-pk', 'm0nster'];351;8823;+918;1.16;1.10
zorte;['betboom', 'forze', 'unique'];1179;30889;+3817;1.21;1.10
xsepower;['forze', 'k23'];1395;37386;+4871;1.22;1.10
Olivia;['beyond', 'alpha-red', 'signature'];634;16189;+1565;1.15;1.10
ICY;['amkal', 'avangar'];214;5466;+704;1.22;1.10
f0rest;['ninjas-in-pyjamas', 'dignitas'];2112;54926;+5648;1.16;1.10
kNgV-;['o-plano', 'mibr', 'intz'];1032;26982;+2682;1.15;1.10
mertz;['north-academy', 'heroic', 'north', 'nordavind', 'singularity'];990;26255;+2655;1.16;1.10
