Player;First Place;Second Place;Third Place;Earnings
dupreeh;54;26;38;$2,207,517
dev1ce;48;27;37;$2,018,278
Xyp9x;48;31;45;$2,015,280
karrigan;56;32;41;$1,964,952
Magisk;36;13;22;$1,903,307
gla1ve;46;27;34;$1,892,431
s1mple;31;23;22;$1,727,047
rain;27;18;21;$1,723,957
Twistzz;24;23;18;$1,691,389
electroNic;28;19;21;$1,599,438
ropz;27;14;13;$1,466,677
apEX;58;31;29;$1,444,628
NiKo;31;19;31;$1,332,983
NAF;23;26;28;$1,229,749
EliGE;21;29;27;$1,203,782
Perfecto;22;10;9;$1,197,653
FalleN;48;22;34;$1,190,188
Stewie2K;34;22;24;$1,176,042
b1t;13;7;7;$1,161,505
Boombl4;22;10;19;$1,133,210
broky;21;14;15;$1,113,215
TACO;31;20;26;$1,072,581
fer;28;21;27;$1,053,546
nitr0;19;27;22;$1,053,514
flamie;26;28;25;$1,051,769
coldzera;26;16;29;$1,033,670
ZywOo;28;20;16;$978,874
KRIMZ;41;20;23;$976,993
olofmeister;41;20;21;$933,614
JW;48;30;30;$929,946
flusha;48;26;31;$884,750
NBK-;65;32;28;$861,695
shox;53;42;32;$851,213
HObbit;29;14;20;$847,800
GuardiaN;29;28;31;$800,993
Zeus;56;40;36;$787,817
tarik;24;12;29;$784,552
NEO;50;36;51;$758,773
TaZ;58;44;51;$744,410
f0rest;81;49;34;$740,770
kennyS;33;29;28;$740,484
sh1ro;33;8;12;$727,931
huNter-;24;19;21;$719,183
Edward;58;46;34;$716,851
Jame;28;13;9;$687,014
Snax;26;23;38;$686,218
Ax1Le;29;8;15;$669,184
jks;14;14;15;$667,766
sjuush;24;10;18;$634,906
RUSH;19;12;21;$628,370
nafany;32;9;15;$628,343
Kjaerbye;18;11;24;$625,500
pashaBiceps;31;23;40;$623,238
cadiaN;24;16;28;$617,605
chrisJ;42;20;18;$610,834
GeT_RiGhT;80;40;27;$607,224
Qikert;30;12;7;$600,720
frozen;43;13;18;$598,987
byali;23;21;35;$583,575
Spinx;17;10;11;$574,458
Aleksib;29;13;16;$569,773
stavn;25;10;19;$567,915
TeSeS;28;10;13;$565,451
RpK;51;29;15;$556,238
Xizt;60;29;25;$548,901
k0nfig;18;14;19;$534,511
interz;25;7;11;$521,705
